block_id,page,section,text,language,block_type,status,pair_id
p021_b0008,21,1.2,主要生产地址：,zh,paragraph,unpaired,
p021_b0009,21,1.2,Main Manufacturing Address: 中国广东省深圳市大鹏新区大鹏办事处布新社区同富工业区37 栋,mixed,paragraph,unpaired,
p021_b0010,21,1.2,"Building No. 37, TongFu Industrial Estate, Buxin Community, DaPeng New District, ShenZhen, GuangDong Province, 518120, P.R. China",en,paragraph,unpaired,
p021_b0012,21,1.3,1.3 力医疗Nex Medical Ltd.,mixed,heading,unpaired,
p021_b0013,21,1.3,力医疗主要负责设计，制造及分销腹腔镜医疗设备的业务，定位为一家香港品牌的医疗设备制 造商。力医疗的优势在于它独特的技能及经验：在美国和欧洲的医疗器材专家负责设计，香港 负责制造，而中国作主要的生产。这个独特的组合，确保我们为客户提供创新以及高品质的一 次性腹腔镜设备。力医疗能够提供外科医生所需的高性能，附合人体工程学和高质量方面的医 疗设备。我们承诺聆听医生的需要，结合先进的设计与高端制造技术，使我们超越竞争对手。我 们的使命是改善病人护理，以及保证患者安全。,zh,paragraph,unpaired,
p021_b0015,21,1.3,"Nex Medical (NM) is in the business of design, manufacturing and distribution of endoscopic and laparoscopic medical device and is positioned as a Hong Kong brand medical device manufacturer. Nex Medical’s strength is in its unique mix of skills and experience: US and European Device Expertise in designs, Hong Kong managed manufacturing, and China based production. This rare combination ensures that we provide our customers with innovative, high quality disposable laparoscopic devices. Nex Medical design devices that deliver what today’s highly skilled surgeons are looking for in terms of performance, ergonomics and quality. Our commitment to listening to surgeons, combining leading edge design with high-end manufacturing technology, gives us an edge over our competitors. Our mission is to improve patient care and ensure patient safety.",en,paragraph,unpaired,
p021_b0016,21,1.3,香港总办事处：,zh,paragraph,unpaired,
p021_b0017,21,1.3,Head Office in Hong Kong: 香港德辅道西444-452 号 香港工业大厦2 字楼F 室,mixed,paragraph,unpaired,
p021_b0018,21,1.3,"Room F, 2/F, Hong Kong Industrial Building, 444-452 Des Voeux Road West, Hong Kong. 电话Tel: 852-3174-1811 网址Website: www.nex-med.com",mixed,paragraph,unpaired,
p022_b0001,22,1.3,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p022_b0002,22,1.3,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p022_b0003,22,1.3,页次Page No.： 第22页共83页,mixed,paragraph,unpaired,
p022_b0004,22,1.3,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p022_b0006,22,1.4,1.4 醫創天工 Medifabrica Ltd.,mixed,heading,unpaired,
p022_b0007,22,1.4,醫創天工主要负责设计，制造及分销微創手術使用的医疗设备的业务，定位为一家國際品牌的 医疗设备制造商。醫創天工的优势在于它独特的技能及经验，在欧洲的医疗器材专家负责设计，,zh,paragraph,unpaired,
p022_b0008,22,1.4,香港负责制造，而中国作主要的生产。这个独特的组合，确保我们为客户提供创新以及高品质 的手術用膠水槍。醫創天工能够提供外科医生所需的高性能，附合人体工程学和高质量方面的 医疗设备。我们承诺聆听医生的需要，结合先进的设计与高端制造技术，使我们超越竞争对手。 我们的使命是改善病人护理，以及保证患者安全。,zh,paragraph,unpaired,
p022_b0009,22,1.4,"Medifabrica Lid. (MF) is in the business of design, manufacturing and distribution of minimally invasive",en,paragraph,unpaired,
p022_b0010,22,1.4,"surgery devices and is positioned as an international brand medical device manufacturer. Medifabrica’s strength is in its unique mix of skills and experience: European Device Expertise in designs, Hong Kong",en,paragraph,unpaired,
p022_b0011,22,1.4,"managed manufacturing, and China based production. This rare combination ensures that we provide our customers with innovative, high quality medical devices. Medifabrica’s design devices that deliver what today’s highly skilled surgeons are looking for in terms of performance, ergonomics and quality. Our commitment to listening to surgeons, combining leading edge design with high-end manufacturing technology, gives us an edge over our competitors. Our mission is to improve patient care and ensure patient safety.",en,paragraph,unpaired,
p022_b0013,22,1.4,香港办事处： Head Office in Hong Kong: 香港德辅道西444-452 号 香港工业大厦7 字楼A-D 室 电话Tel: 852-2838-0300 传真Fax: 852-2838-0238,mixed,paragraph,unpaired,
p022_b0014,22,1.4,"Room A-D, 7/F, Hong Kong Industrial Building, 444-452 Des Voeux Road West, Hong Kong. 网址Website: www.medifabrica.com",mixed,paragraph,unpaired,
p023_b0001,23,1.4,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p023_b0002,23,1.4,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p023_b0003,23,1.4,页次Page No.： 第23页共83页,mixed,paragraph,unpaired,
p023_b0004,23,1.4,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,unpaired,
p023_b0006,23,2.0,2.0 质量方针和目标Quality Policy and Objective,mixed,heading,standalone,
p023_b0007,23,2.0,质量方针Quality Policy,mixed,paragraph,standalone,
p023_b0008,23,2.0,医科创建集团致力于成为国际顶级供应商，提供高品质，价格合理的器械，辅助外科医生改善病人的 生活素质和针对用户的需求，提供崭新的工程技术方案。,zh,paragraph,paired,chunk_001_pair_001
p023_b0009,23,2.0,"MediConcepts Group’s vision is to be the world’s leading supplier of high quality, cost effective instrumentation, empowering surgeons to provide the patients with an improved quality of life, and to create engineering solutions which truly focus on the user’s needs.",en,paragraph,paired,chunk_001_pair_001
p023_b0010,23,2.0,我们承诺致力持续改进我们的医疗器械质量管理体系及提供足够资源，以确保提供完善之服务及满足 客户及法规的要求。我们并以客户之信任及满足作为我们最根本的表现基础。,zh,paragraph,paired,chunk_001_pair_002
p023_b0011,23,2.0,"We strive to continuously improve our processes and resources. We proudly pronounce our commitment to understanding, and meeting customer expectations and regulatory requirements at all times. We take customer satisfaction as the primary measure of our performance.",en,paragraph,paired,chunk_001_pair_002
p023_b0013,23,2.0,质量目标QUALITY OBJECTIVE,mixed,paragraph,standalone,
p023_b0014,23,2.0,我们的质量目标是经与我们员工沟通，并依管理层所定之质量方针，以及质量手册所规定的质量体系 要求而制定。具体的质量目标是通过管理评审会议制定,zh,paragraph,paired,chunk_001_pair_003
p023_b0015,23,2.0,"The specified quality objectives are set by the management review meeting and it is our goal that a captioned policy is communicated to all our employees, who will adhere to the spirit of this Quality Policy as well as the quality system requirements set forth in the Quality Manual.",en,paragraph,paired,chunk_001_pair_003
p023_b0016,23,2.0,质量目标参照《质量目标一览表》,zh,paragraph,paired,chunk_001_pair_004
p023_b0017,23,2.0,Quality Objective refers to <Quality Objectives List>,en,paragraph,paired,chunk_001_pair_004
p023_b0018,23,2.0,质量方针和质量目标将通过以下途径达成：,zh,paragraph,paired,chunk_001_pair_005
p023_b0019,23,2.0,The quality policy and objective will be achieved through the following channels: 领导所有员工去建立并维持一个符合0.4.1 所列的标准要求的质量管理体系，满足0.4.2 所列的适用 的法规要求。,mixed,paragraph,paired,chunk_001_pair_005
p023_b0020,23,2.0,Lead all staff to establish and maintain a quality management system in compliance with the requirements stated in section 0.41. The quality management system shall fulfill all relevant regulation requirement.,en,paragraph,unpaired,
p023_b0021,23,2.0,1) 实施医疗器械国际标准;,zh,paragraph,paired,chunk_001_pair_006
p023_b0022,23,2.0,Implement the international standards for medical devices; 2) 通过对过程和设备的确认和验证以确保产品在每一个制作过程中之质量﹔,mixed,paragraph,paired,chunk_001_pair_006
p023_b0023,23,2.0,Ensure the product quality in every manufacturing process through validation and verification of the manufacturing processes and equipments; 3) 通过培训所有员工以确保产品质量和效能改进。,mixed,paragraph,paired,chunk_001_pair_007
p023_b0024,23,2.0,Ensure the product quality and improve efficiency by providing training to all staff.,en,paragraph,paired,chunk_001_pair_007
p024_b0001,24,2.0,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p024_b0002,24,2.0,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p024_b0003,24,2.0,页次Page No.： 第24页共83页,mixed,paragraph,header_footer,
p024_b0004,24,2.0,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p024_b0006,24,3.0,3.0 组织及职责Organization & Responsibility,mixed,heading,standalone,
p024_b0007,24,3.1,3.1 Organization Charts,en,heading,standalone,
p024_b0008,24,3.1.1,3.1.1 MediConcepts Group,en,heading,standalone,
p024_b0013,24,3.1.1,Medifabrica Limited,en,paragraph,paired,chunk_001_pair_008
p024_b0014,24,3.1.1,医科创建有限公司,zh,paragraph,paired,chunk_001_pair_008
p024_b0015,24,3.1.1,Nex Medical Limited,en,paragraph,unpaired,
p024_b0016,24,3.1.1,MediConcepts Limited,en,paragraph,unpaired,
p024_b0017,24,3.1.1,医创建科技（深圳）有限,zh,paragraph,paired,chunk_001_pair_009
p024_b0018,24,3.1.1,公司,zh,paragraph,paired,chunk_001_pair_009
p024_b0019,24,3.1.1,MediConcepts Technology,en,header_footer,header_footer,
p024_b0020,24,3.1.1,(Shenzhen) Company,en,paragraph,paired,chunk_001_pair_009
p025_b0001,25,3.1.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p025_b0002,25,3.1.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p025_b0003,25,3.1.1,页次Page No.： 第25页共83页,mixed,paragraph,header_footer,
p025_b0004,25,3.1.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p025_b0007,25,3.1.2,3.1.2 MediConcepts Ltd.,en,heading,standalone,
p025_b0008,25,3.1.2,董事总经理 Managing Director,mixed,paragraph,standalone,
p025_b0009,25,3.1.2,总经理(管理者代表),zh,paragraph,paired,chunk_001_pair_010
p025_b0010,25,3.1.2,General Manager,en,paragraph,paired,chunk_001_pair_010
p025_b0011,25,3.1.2,(Management Representative),en,paragraph,paired,chunk_001_pair_010
p025_b0012,25,3.1.2,研发总监/工程主管,zh,paragraph,paired,chunk_001_pair_011
p025_b0013,25,3.1.2,医创建科技(深圳)有限公司,zh,paragraph,paired,chunk_001_pair_012
p025_b0014,25,3.1.2,法规符合性负责人 Person Responsible,mixed,paragraph,paired,chunk_001_pair_013
p025_b0015,25,3.1.2,R&D Director /,en,paragraph,paired,chunk_001_pair_011
p025_b0016,25,3.1.2,Mediconcepts Technology,en,paragraph,paired,chunk_001_pair_012
p025_b0017,25,3.1.2,for Regulatory,en,paragraph,paired,chunk_001_pair_013
p025_b0018,25,3.1.2,市场总监 Marketing Director 临床专家 Clinical Specialist,mixed,paragraph,standalone,
p025_b0019,25,3.1.2,采购经理 Purchasing Manager,mixed,paragraph,standalone,
p025_b0020,25,3.1.2,Engineering,en,paragraph,unpaired,
p025_b0021,25,3.1.2,(Shenzhen)Company Ltd,en,paragraph,paired,chunk_001_pair_012
p025_b0022,25,3.1.2,Compliance,en,paragraph,paired,chunk_001_pair_013
p025_b0023,25,3.1.2,Supervisor,en,paragraph,unpaired,
p025_b0024,25,3.1.2,采购部(香港),zh,paragraph,paired,chunk_001_pair_014
p025_b0025,25,3.1.2,售后服务部 After-sales Service,mixed,paragraph,paired,chunk_001_pair_015
p025_b0026,25,3.1.2,Department,en,paragraph,paired,chunk_001_pair_015
p025_b0027,25,3.1.2,Purchasing Department(HK),en,paragraph,paired,chunk_001_pair_014
p025_b0029,25,3.1.3,3.1.3 医创建科技（深圳）有限公司MediConcepts Technology (Shenzhen) Company Ltd.,mixed,heading,standalone,
p026_b0001,26,3.1.3,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p026_b0002,26,3.1.3,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p026_b0003,26,3.1.3,页次Page No.： 第26页共83页,mixed,paragraph,header_footer,
p026_b0004,26,3.1.3,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,header_footer,header_footer,
p026_b0006,26,3.1.4,3.1.4 Nex Medical Ltd.,en,heading,standalone,
p027_b0001,27,3.1.4,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p027_b0002,27,3.1.4,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p027_b0003,27,3.1.4,页次Page No.： 第27页共83页,mixed,paragraph,header_footer,
p027_b0004,27,3.1.4,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,header_footer,header_footer,
p027_b0006,27,3.1.5,3.1.5 Medifabrica Ltd.,en,heading,standalone,
p028_b0001,28,3.1.5,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p028_b0002,28,3.1.5,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p028_b0003,28,3.1.5,页次Page No.： 第28页共83页,mixed,paragraph,header_footer,
p028_b0004,28,3.1.5,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p028_b0006,28,3.2,3.2 权力及职位Authority and Position,mixed,heading,standalone,
p028_b0007,28,3.2.1,3.2.1 董事总经理 Managing Director,mixed,heading,standalone,
p028_b0008,28,3.2.1.1,3.2.1.1 负责公司之整体业务策略和管理，并为公司制订长远的发展方向。,zh,heading,paired,chunk_002_pair_001
p028_b0009,28,3.2.1.1,Be responsible for the overall business strategies and management of the,en,paragraph,paired,chunk_002_pair_001
p028_b0010,28,3.2.1.1,company; and define the long term direction of the company. 3.2.1.2 为公司提供所需的资源以便有效运作。,mixed,paragraph,paired,chunk_002_pair_002
p028_b0011,28,3.2.1.1,Provide the company with sufficient resources for effective operation. 3.2.1.3 最终对公司之整体运作与产品之质量负责。,mixed,paragraph,paired,chunk_002_pair_003
p028_b0012,28,3.2.1.1,Be ultimately responsible for the company’s overall operations and product,en,paragraph,paired,chunk_002_pair_003
p028_b0013,28,3.2.1.1,quality. 3.2.1.4 制订公司质量方针。,mixed,paragraph,paired,chunk_002_pair_004
p028_b0014,28,3.2.1.1,Define the company’s Quality Policy. 3.2.2 总经理 General Manager,mixed,paragraph,paired,chunk_002_pair_004
p028_b0015,28,3.2.1.1,3.2.2.1 负责各部门运作之整体管理，并有对整体运作之责任及权力。,zh,paragraph,paired,chunk_002_pair_005
p028_b0016,28,3.2.1.1,Be responsible for the overall management of the operations of each department Having responsibility and authority over the operations. 3.2.2.2 领导及管理公司各部门，使生产团队合作凝聚，以达致符合客户要求及公司 目标。,mixed,paragraph,paired,chunk_002_pair_006
p028_b0017,28,3.2.1.1,"Provide leadership and management to the division, motivate all divisions and team members to work cohesively in meeting customer’s requirements and achieving company’s goals. 3.2.2.3 负责策划质量管理及建立公司质量目标。",mixed,paragraph,paired,chunk_002_pair_007
p028_b0018,28,3.2.1.1,Be responsible for the development of quality management and establishing the company’s Quality Objectives. 3.2.2.4 负责忠告性通知处理及报告。,mixed,paragraph,paired,chunk_002_pair_008
p028_b0019,28,3.2.1.1,Be responsible for Advisory Notice handling and reporting. 3.2.3 管理者代表(总经理兼整个集团公司的管理者代表) Management Representative (General,mixed,paragraph,paired,chunk_002_pair_008
p028_b0020,28,3.2.1.1,Manager acting) 3.2.3.1 担当本公司质量管理体系之管理者代表。,mixed,paragraph,paired,chunk_002_pair_009
p028_b0021,28,3.2.1.1,Act as the Management Representative of the company’s Quality Management System. 3.2.3.2 确保质量管理体系按照适用之标准建立，实施和维持。,mixed,paragraph,paired,chunk_002_pair_010
p028_b0022,28,3.2.1.1,"Ensure that the Quality Management System is established, implemented and maintained in accordance with applicable standards. 3.2.3.3 协调及筹组管理评审活动。",mixed,paragraph,paired,chunk_002_pair_011
p028_b0023,28,3.2.1.1,Coordinate and administrate management review activities. 3.2.3.4 负责就有关公司之质量管理体系事宜与外间机构联络。,mixed,paragraph,paired,chunk_002_pair_012
p029_b0001,29,3.2.1.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p029_b0002,29,3.2.1.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p029_b0003,29,3.2.1.1,页次Page No.： 第29页共83页,mixed,paragraph,header_footer,
p029_b0004,29,3.2.1.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p029_b0006,29,3.2.1.1,Be responsible for communicating with external parties on matters relating to company’s Quality Management System. 3.2.3.5 向董事总经理汇报质量管理体系的绩效，以便其进行评审并作为质量管理体 系改进的基础。,mixed,paragraph,paired,chunk_002_pair_013
p029_b0007,29,3.2.1.1,Report on the performance of the Quality Management System to the Managing Director for review and as a basis for improvement of the Quality Management System. 3.2.3.6 主持管理评审会议。,mixed,paragraph,paired,chunk_002_pair_014
p029_b0008,29,3.2.1.1,Preside over the management review meeting. 3.2.3.7 负责审批质量管理体系程序文件。,mixed,paragraph,paired,chunk_002_pair_015
p029_b0009,29,3.2.1.1,Be responsible for approving Quality Management System Procedures.,en,paragraph,paired,chunk_002_pair_015
p029_b0010,29,3.2.1.1,3.2.4 研发 Research and Development,mixed,paragraph,standalone,
p029_b0011,29,3.2.1.1,3.2.4.1 研发总监,zh,paragraph,paired,chunk_002_pair_016
p029_b0012,29,3.2.1.1,R & D Director,en,paragraph,paired,chunk_002_pair_016
p029_b0013,29,3.2.1.1,3.2.4.1.1 向总经理负责所有工程事宜及协调临床事宜,zh,paragraph,paired,chunk_002_pair_017
p029_b0014,29,3.2.1.1,Be responsible to the General Manager for all engineering matters and co-ordination of clinical matters.,en,paragraph,paired,chunk_002_pair_017
p029_b0015,29,3.2.1.1,3.2.4.1.2 确保产品满足MDD 技术要求以及其它国际的标准,mixed,paragraph,paired,chunk_002_pair_018
p029_b0016,29,3.2.1.1,Ensure that the product complies with the technical requirements of the MDD and other international standards/requirements.,en,paragraph,paired,chunk_002_pair_018
p029_b0017,29,3.2.1.1,3.2.4.1.3 负责风险分析、绘制技术图纸,zh,paragraph,paired,chunk_002_pair_019
p029_b0018,29,3.2.1.1,Be responsible for the risk analysis and drafting technical drawing. 3.2.4.2 工程经理,mixed,paragraph,paired,chunk_002_pair_020
p029_b0019,29,3.2.1.1,Engineering Manager,en,paragraph,paired,chunk_002_pair_020
p029_b0020,29,3.2.1.1,3.2.4.2.1 向研发总监负责，处理部门技术和工程相关事宜,zh,paragraph,paired,chunk_002_pair_021
p029_b0021,29,3.2.1.1,Be responsible to the R & D Director for handling matters in the division relating to technical and engineering aspects.,en,paragraph,paired,chunk_002_pair_021
p029_b0022,29,3.2.1.1,3.2.4.2.2 协助研发总监开发产品及必要时更新产品,zh,paragraph,paired,chunk_002_pair_022
p029_b0023,29,3.2.1.1,Assist the R & D Director in developing products and/or upgrading the products as necessary.,en,paragraph,paired,chunk_002_pair_022
p029_b0024,29,3.2.1.1,3.2.4.2.3 协助生产部持续改进制造技术，以及减少生产成本,zh,paragraph,paired,chunk_002_pair_023
p029_b0025,29,3.2.1.1,Assist Production to continuously improve manufacturing techniques and reduce production cost.,en,paragraph,paired,chunk_002_pair_023
p029_b0026,29,3.2.1.1,3.2.4.2.4 协助新物料/配件的采购和供应商批准,zh,paragraph,missing_english,chunk_002_pair_024
p029_b0027,29,3.2.1.1,Assist the sourcing of new material and/or components and vendor approvals. 3.2.4.3 首席技術執行官,mixed,paragraph,paired,chunk_003_pair_001
p029_b0028,29,3.2.1.1,Chief Technology Officer,en,paragraph,paired,chunk_003_pair_001
p030_b0001,30,3.2.1.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p030_b0002,30,3.2.1.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p030_b0003,30,3.2.1.1,页次Page No.： 第30页共83页,mixed,paragraph,header_footer,
p030_b0004,30,3.2.1.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p030_b0006,30,3.2.1.1,3.2.4.3.1 向董事总经理汇报所有技術發展事宜,zh,paragraph,paired,chunk_003_pair_002
p030_b0007,30,3.2.1.1,Be responsible to the Managing Director for all technological development matters,en,paragraph,paired,chunk_003_pair_002
p030_b0008,30,3.2.1.1,3.2.4.3.2 确保产品满足最先進前沿技术要求以及客戶要求的国际的标准,zh,paragraph,paired,chunk_003_pair_003
p030_b0009,30,3.2.1.1,Ensure that products meet state-of-the-art technological requirements and international standards demanded by customers.,en,paragraph,paired,chunk_003_pair_003
p030_b0010,30,3.2.1.1,3.2.4.3.3 负责創新，草擬，绘制技术图纸和3D 模型設計,mixed,paragraph,paired,chunk_003_pair_004
p030_b0011,30,3.2.1.1,"Be responsible for innovation, drafting, creating technical drawing and 3D rending design,",en,paragraph,paired,chunk_003_pair_004
p030_b0012,30,3.2.1.1,3.2.4.3.4 负责進行前期研發驗證和臨床測試,zh,paragraph,paired,chunk_003_pair_005
p030_b0013,30,3.2.1.1,Be responsible for conceptual design/pre-design verification and clinical Study,en,paragraph,paired,chunk_003_pair_005
p030_b0014,30,3.2.1.1,3.2.5 市场总监或市场经理 Marketing,mixed,paragraph,missing_english,chunk_003_pair_006
p030_b0015,30,3.2.1.1,3.2.5.1 负责向现有及潜在客户推销公司之产品。,zh,paragraph,paired,chunk_003_pair_007
p030_b0016,30,3.2.1.1,Be responsible for the marketing of the company’s products to existing and potential customers. 3.2.5.2 担当处理客户事宜之主要联络单位。,mixed,paragraph,paired,chunk_003_pair_007
p030_b0017,30,3.2.1.1,Act as the principal contact for customers. 3.2.5.3 拟定策略计划从而推广公司之产品。,mixed,paragraph,unpaired,
p030_b0018,30,3.2.1.1,Develop strategic planning to promote the company products. 3.2.5.4 负责交付产品予客户及有关之船务安排(包括文件)。,mixed,paragraph,unpaired,
p030_b0019,30,3.2.1.1,"Be responsible for delivering the products to the customers, and related shipping arrangement, including the documents. 3.2.5.5 负责主导合同评审，客户投诉处理，客户满意度调查。",mixed,paragraph,paired,chunk_003_pair_010
p030_b0020,30,3.2.1.1,"Be responsible for taking initiative in contract review, customer complaint handling and customer satisfaction investigation.",en,paragraph,paired,chunk_003_pair_010
p030_b0021,30,3.2.1.1,3.2.6 生产经理 Production Manager,mixed,paragraph,missing_english,chunk_003_pair_011
p030_b0022,30,3.2.1.1,3.2.6.1 在其职责范围内界定目标与指标。,zh,paragraph,paired,chunk_003_pair_012
p030_b0023,30,3.2.1.1,Define the objectives and indicators within his responsibilities. 3.2.6.2 确保生产及质量要求借着资源调配得以满足。,mixed,paragraph,paired,chunk_003_pair_012
p030_b0024,30,3.2.1.1,Ensure that production and quality requirements are met by reallocating resources available to him. 3.2.6.3 在其职权范围内，维持质量管理体系的有效运作。,mixed,paragraph,unpaired,
p030_b0025,30,3.2.1.1,Maintain the effective operation of the Quality Management System within his responsibilities. 3.2.6.4 与相关部门协调确定生产方法及处理流程，并准备关联之文件。,mixed,paragraph,paired,chunk_003_pair_014
p030_b0026,30,3.2.1.1,Confirm manufacturing methods and process flow by working with related departments. Prepare associated documents accordingly.,en,paragraph,paired,chunk_003_pair_014
p031_b0001,31,3.2.1.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p031_b0002,31,3.2.1.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p031_b0003,31,3.2.1.1,页次Page No.： 第31页共83页,mixed,paragraph,header_footer,
p031_b0004,31,3.2.1.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p031_b0006,31,3.2.1.1,3.2.6.5 解决生产线出现的工艺技术问题。,zh,paragraph,paired,chunk_003_pair_015
p031_b0007,31,3.2.1.1,Resolve any manufacturing problem arising from the production line. 3.2.6.6 管理和维护生产用设备、工装工具、仪器仪表，以确保工厂运作之持续。,mixed,paragraph,paired,chunk_003_pair_015
p031_b0008,31,3.2.1.1,"Manage and maintain production facilities, fixtures, tools and instruments, to ensure factory operations continuity. 3.2.6.7 负责工人技能培训，并指导其正确使用机器设备和工装设备。",mixed,paragraph,unpaired,
p031_b0009,31,3.2.1.1,"Be responsible for the technical training for the workers, and direct them to use the machine and fixture correctly. 3.2.6.8 负责车间环境维护",mixed,paragraph,unpaired,
p031_b0010,31,3.2.1.1,Be responsible for the workshop environment control. 3.2.6.9 负责生产作业指引的评审。,mixed,paragraph,unpaired,
p031_b0011,31,3.2.1.1,Review the production WIs. 3.2.6.10 协助制程确认。,mixed,paragraph,unpaired,
p031_b0012,31,3.2.1.1,Assist in the preparation of “Process Validation” 3.2.6.11 领导及管理其监管之部门人员，使上述责任得以达成。,mixed,paragraph,paired,chunk_003_pair_020
p031_b0013,31,3.2.1.1,Provide leadership and management to the department he/she supervises such that responsibilities mentioned above can be achieved.,en,paragraph,paired,chunk_003_pair_020
p031_b0014,31,3.2.1.1,3.2.7 采购经理 Purchasing Manager,mixed,paragraph,missing_english,chunk_003_pair_021
p031_b0015,31,3.2.1.1,采购经理职责管理以下功能：,zh,paragraph,paired,chunk_003_pair_022
p031_b0016,31,3.2.1.1,Purchasing Manager is responsible for the management of the following functions:,en,paragraph,paired,chunk_003_pair_022
p031_b0017,31,3.2.1.1,3.2.7.1 采购Purchasing,mixed,paragraph,missing_english,chunk_003_pair_023
p031_b0018,31,3.2.1.1,3.2.7.1.1 负责以准确时间及达致成本效益的态度采购物料、机器及设备,zh,paragraph,paired,chunk_003_pair_024
p031_b0019,31,3.2.1.1,"Be responsible for procuring materials, machinery and equipment in a timely and cost-effective manner.",en,paragraph,paired,chunk_003_pair_024
p031_b0020,31,3.2.1.1,3.2.7.1.2 指导采购员解决与采购有关的事宜。,zh,paragraph,paired,chunk_003_pair_025
p031_b0021,31,3.2.1.1,Supervise the purchasing staff in resolving any matters in relation to purchasing.,en,paragraph,paired,chunk_003_pair_025
p031_b0022,31,3.2.1.1,3.2.7.1.3 统筹供应商评估活动及确保已审定的采购程序正确无误地实施。,zh,paragraph,paired,chunk_003_pair_026
p031_b0023,31,3.2.1.1,Coordinate supplier evaluation activities and ensure the proper performance of the approved purchasing procedures.,en,paragraph,paired,chunk_003_pair_026
p031_b0024,31,3.2.1.1,3.2.7.1.4 促进供应商改善其对所提供的服务及产品作出质量改善。,zh,paragraph,missing_english,chunk_003_pair_027
p031_b0025,31,3.2.1.1,Encourage suppliers to improve the quality of their services and products. 3.2.7.2 生管及货仓PMC / Warehouse,mixed,paragraph,standalone,
p031_b0026,31,3.2.1.1,3.2.7.2.1 负责与市场部联系，制订合理的生产计划。,zh,paragraph,paired,chunk_004_pair_001
p031_b0027,31,3.2.1.1,Be responsible for scheduling appropriate production plans by ongoing communication with Marketing.,en,paragraph,paired,chunk_004_pair_001
p031_b0028,31,3.2.1.1,3.2.7.2.2 确保所有物料及成品恰当地储存、防护、运送。(货仓),zh,paragraph,paired,chunk_004_pair_002
p031_b0029,31,3.2.1.1,Ensure all materials and finished goods are correctly and properly,en,paragraph,paired,chunk_004_pair_002
p032_b0001,32,3.2.1.1,质量管理体系Quality Management System 文件编号Doc No.： QM01,mixed,header_footer,header_footer,
p032_b0002,32,3.2.1.1,文件版本Doc Rev.： N CR2670 DR0562,mixed,header_footer,header_footer,
p032_b0003,32,3.2.1.1,页次Page No.： 第32页共83页,mixed,paragraph,header_footer,
p032_b0004,32,3.2.1.1,文 件 名 称 Document Name: 质 量 手 册 Quality Manual,mixed,paragraph,header_footer,
p032_b0006,32,3.2.1.1,"stored, preserved and delivered (Warehouse).",en,paragraph,paired,chunk_004_pair_002
p032_b0007,32,3.2.1.1,3.2.7.2.3 指导下属处理与物料及与生产计划有关的事项。,zh,paragraph,paired,chunk_004_pair_003
p032_b0008,32,3.2.1.1,Supervise subordinates to handle matters related to materials and production plans.,en,paragraph,paired,chunk_004_pair_003
p032_b0009,32,3.2.1.1,3.2.7.2.4 确保质量管理体系在本部门内有效地运行。,zh,paragraph,paired,chunk_004_pair_004
p032_b0010,32,3.2.1.1,Ensure the effective operations of the Quality Management System within the department.,en,paragraph,paired,chunk_004_pair_004
